id,campaign_title,audience,subject_line,preview_text,emails_sent,unsubscribed,send_date,send_hour,hard_bounces,soft_bounces,number_of_forwards,number_of_forwards_opened,total_opens,unique_opens,unique_open_rate,total_clicks,unique_clicks,true_ctr
c766a82372,Wescott Reminder,Wescott Kickoff,We Can't Wait To See You on Thursday!,,36,0,2019-04-23,10 AM,0,1,0,0,112,11,0.3055555555555556,0,0,0.0
f3189b9fec,Mosaic 190419,Mosaic (Website Interest List),Mosaic - It’s How You Live That Matters.,,630,6,2019-04-19,12 PM,10,7,0,0,633,230,0.36507936507936506,250,196,0.3949447077409163
15d615c7e6,reminder,Wescott Kickoff,Don't forget to RSVP!,,19,0,2019-04-03,04 PM,0,1,0,0,108,8,0.42105263157894735,10,5,0.09259259259259259
e1a136bdc2,Wescott Kickoff,Wescott Kickoff,You are invited! Must RSVP by April 5th 2019,,39,0,2019-03-29,03 PM,0,1,0,0,238,29,0.7435897435897436,51,20,0.21428571428571427
023482d1fd,,River Mill (Website Interest List),River Mill Community Update,,930,11,2019-03-26,02 PM,5,3,0,0,852,447,0.4806451612903226,229,182,0.2687793427230047
5ade93f061,White Hall 190312,White Hall (Website Interest List),Builder Spotlight - HHHunt Homes,,69,0,2019-03-12,03 PM,7,3,0,0,23,15,0.21739130434782608,0,0,0.0
37aee20a36,,River Mill (Website Interest List),A word from your VP of Land Development,,839,13,2019-03-12,08 AM,4,3,0,0,686,373,0.4445768772348033,142,119,0.20699708454810495
eacf4b0bc8,,River Mill (Website Interest List),Schell Brother’s Now Selling!,,874,10,2019-02-19,11 AM,25,5,0,0,743,397,0.45423340961098396,185,161,0.2489905787348587
8583671cc9,Now Selling in River Mill by HHHunt,River Mill (Website Interest List),Now Selling in River Mill by HHHunt!,,790,6,2019-01-23,10 AM,0,30,0,0,714,371,0.46962025316455697,204,174,0.2857142857142857
b32eb63f2d,HHHC Update 181214,TEMP HHHC GEN LIST (Del after mailing),Happy Holidays from HHHunt Communities,,439,10,2018-12-18,10 AM,25,7,0,0,141,111,0.2528473804100228,31,19,0.2198581560283688
b623eccecc,River Mill Update 181214,River Mill (Website Interest List),Happy Holidays from River Mill,,806,14,2018-12-17,10 AM,2,29,0,0,481,332,0.4119106699751861,51,43,0.10602910602910603
cfca77e97c,Mosaic Update 181214,Mosaic (Website Interest List),Happy Holidays from Mosaic at West Creek,,287,4,2018-12-17,10 AM,1,3,0,0,357,162,0.5644599303135889,79,66,0.22128851540616246
6b8bcd67dc,Internal,New list for folks to the open house,Don't Forget... HHHunt Communities Open House 12/13/18,,34,0,2018-12-11,10 AM,0,0,0,0,88,17,0.5,4,2,0.045454545454545456
411d93aec4,Open House reminder,Business Partners 2018,Don't Forget....HHHunt Communities Open House 12-13-18,,120,0,2018-12-11,10 AM,0,5,0,0,247,48,0.4,14,10,0.05668016194331984
f54681f0b5,Open House,New list for folks to the open house,Mark your calendars for HHHunt Communities Holiday Open House!!,,34,0,2018-11-27,12 PM,0,0,0,0,137,22,0.6470588235294118,10,5,0.072992700729927
94961cf13d,Mosaic update 181126,Mosaic (Website Interest List),Mosaic at West Creek is worth the wait...,,218,4,2018-11-26,11 AM,2,1,0,0,559,154,0.7064220183486238,56,42,0.1001788908765653
423ab86133,River Mill Builder Spotlight,River Mill (Website Interest List),River Mill Builder Spotlight,LeGault Homes,770,7,2018-11-21,11 AM,2,29,0,0,664,349,0.45324675324675323,138,109,0.20783132530120482
5bb8c7ce24,,Business Partners 2018,You are invited to HHHunt Communities' Open House!,,125,0,2018-11-15,04 PM,5,5,0,0,593,65,0.52,31,18,0.05227655986509275
997785519d,River Mill Update 181030,River Mill (Website Interest List),River Mill Community Update ☀,,779,9,2018-10-30,09 AM,0,29,0,0,768,411,0.527599486521181,128,114,0.16666666666666666
aec261aee9,,Realtors,We want to hear from you!,Please take the survey and tell us what you would prefer?,3139,13,2018-10-23,11 AM,4,13,0,0,664,458,0.14590633959859828,44,33,0.06626506024096386
b631d27f7f,River Mill VIP Community Update,River Mill (Website Interest List),River Mill VIP Community Update,,805,12,2018-09-25,10 AM,49,30,0,0,1165,392,0.48695652173913045,277,204,0.23776824034334765
527325fc4f,Mosaic Survey Mailing 180906,Mosaic Survey Mailing 180906,Mosaic is coming - help make it yours,Please join us in an on-line workshop to help plan the future of HHHunt’s newest community – and your next coffee is on us!,1338,22,2018-09-18,01 PM,109,21,0,0,1361,592,0.44245142002989535,377,197,0.27700220426157235
48360e513d,,River Mill Post Meeting,Exciting news about River Mill!,,57,0,2018-03-28,10 AM,0,1,0,0,424,46,0.8070175438596491,61,28,0.14386792452830188
cef43e3273,,River Mill Post Meeting,Thank you for joining us!,River Mill Builder Appreciation and Update at Casa Del Barco,58,0,2018-03-22,07 PM,1,1,0,0,306,48,0.8275862068965517,97,44,0.31699346405228757
66485ec917,Mosiac Email County 180313 (copy 01),West Creek 55+,Mosaic at West Creek gets the greenlight,HHHunt is excited to announce that zoning for Mosaic at West Creek was unanimously approved by the Goochland County Board of Supervisors!,92,0,2018-03-16,12 PM,5,1,0,0,278,58,0.6304347826086957,27,21,0.09712230215827339
ab8f368a52,Mosiac Email County 180313,West Creek 55+,💬 West Creek 55 - Your help is needed today,"This message is being sent in support of the rezoning case for Mosaic a West Creek, HHHunt’s proposed 55+ community.",92,0,2018-03-13,01 PM,0,6,0,0,164,60,0.6521739130434783,31,28,0.18902439024390244
8c9feed123,River Mill Team Invite 180227,River Mill Team Invite,Join Us - Not Your Run of the Mill Event,River Mill Team Invitation to Casa del Barco,55,0,2018-02-27,12 PM,1,1,0,0,278,45,0.8181818181818182,0,0,0.0
8b400e2706,Mosiac Email County 171204,West Creek 55+,💬 West Creek 55 - Your help is needed by December 4th,"This message is being sent in support of the rezoning case for Mosaic a West Creek, HHHunt’s proposed 55+ community.",68,0,2017-12-04,03 PM,0,6,0,0,99,32,0.47058823529411764,16,10,0.16161616161616163
9f1b92bf50,Mosiac Email County 171121,West Creek 55+,💬 West Creek 55 - Your help is needed by December 4th,"This message is being sent in support of the rezoning case for Mosaic a West Creek, HHHunt’s proposed 55+ community.",68,0,2017-11-27,03 PM,0,6,0,0,130,34,0.5,23,17,0.17692307692307693
b932e87a14,West Creek 55 171016,West Creek 55+,New Goochland community zoning update,We appreciate your interest in the proposed HHHunt community located in West Creek and invite you to be part of moving this new community forward.,60,0,2017-10-16,12 PM,0,5,0,0,93,37,0.6166666666666667,1,1,0.010752688172043012
02dcea387a,West Creek 55 170917-,West Creek 55+,New Goochland community zoning update,We appreciate your interest in the proposed HHHunt community located in West Creek and invite you to be part of moving this new community forward.,63,0,2017-09-11,02 PM,6,5,0,0,184,36,0.5714285714285714,2,2,0.010869565217391304
