id,campaign_title,audience,subject_line,preview_text,emails_sent,unsubscribed,send_date,send_hour,hard_bounces,soft_bounces,number_of_forwards,number_of_forwards_opened,total_opens,unique_opens,unique_open_rate,total_clicks,unique_clicks,true_ctr
67dd6e6eaa,River Mill Devt Update 1-28-2021,River Mill (Website Interest List),Check out the action in River Mill!,Adventure awaits.,1429,15,2021-01-26,11 AM,2,66,0,0,692,379,0.26522043386983907,21,16,0.030346820809248554
8d43897aa8,Wescott Development Update 1-28-2021,Wescott (Website Interest List),Excitement continues at Wescott!,Clubhouse news and more.,229,0,2021-01-26,10 AM,2,12,0,0,160,72,0.314410480349345,8,7,0.05
fa413d3af8,Wescott Holiday Card 2020,Wescott (Website Interest List),Warmest Wishes from Wescott ❄,Happy Holidays!,221,6,2020-12-19,10 AM,0,13,0,0,146,58,0.26244343891402716,20,13,0.136986301369863
3314841a61,Rutland Grove Holiday Card 2020,Rutland Grove (Website Interest List),May Your Season Be Merry & Bright! ⛄,Happy Holidays,218,4,2020-12-18,10 AM,0,5,0,0,106,61,0.2798165137614679,31,20,0.29245283018867924
34f7e3e5ab,Mosaic Holiday Card 2020,Mosaic (Website Interest List),Happy Holidays!,Savor these moments.  ,1549,23,2020-12-17,10 AM,4,10,0,0,914,443,0.2859909619109103,220,147,0.24070021881838075
6530c80bf4,River Mill Holiday Card 2020,River Mill (Website Interest List),Season's Greetings from River Mill! ❄,Happy Holidays,1432,21,2020-12-16,12 PM,2,59,0,0,504,336,0.2346368715083799,82,64,0.1626984126984127
823e8384ea,Mosaic Devt Update November 2020,Mosaic (Website Interest List),Your next adventure is calling!,See the latest at Mosaic.,1554,14,2020-11-25,11 AM,2,14,0,0,1094,418,0.26898326898326896,181,145,0.16544789762340037
90d83b09f0,River Mill Devt Update November 2020,River Mill (Website Interest List),Excitement continues at River Mill!,See you on the trails.,1438,11,2020-11-23,05 PM,2,63,0,0,746,408,0.28372739916550765,30,21,0.040214477211796246
5e90524fe4,,Wescott (Website Interest List),What's up at Wescott?,Exciting Developments!,210,1,2020-11-23,04 PM,1,13,0,0,204,63,0.3,70,25,0.3431372549019608
8f3e7d9ab1,Mosaic Development Update 10-30-2020,Mosaic (Website Interest List),Get a Sneak Peek of Mosaic at West Creek! 👀,Where you can indulge every day.,1547,5,2020-10-30,01 PM,2,12,0,0,1810,507,0.3277310924369748,435,278,0.24033149171270718
923b0aa1d9,Rutland Grove Dev Update 10.30.20,Rutland Grove (Website Interest List),Get a sneak peek of Rutland Grove! 👀,Where you can live your best life.,216,2,2020-10-30,09 AM,0,5,0,0,242,91,0.4212962962962963,58,35,0.2396694214876033
aa28fe86ae,River Mill Development Update 10.20.30,River Mill (Website Interest List),River Mill is getting even more convenient!,Check out the Woodman Road extension and more.,1459,18,2020-10-20,11 AM,16,39,0,0,685,368,0.25222755311857437,116,89,0.16934306569343066
565931cb4d,Wescott Development Update 9.30.20,Wescott (Website Interest List),Wescott is designed with YOU in mind!,Ready to get your game on?,196,2,2020-10-02,09 AM,0,7,0,0,140,48,0.24489795918367346,20,17,0.14285714285714285
da3a04e8fa,Rutland Grove Dev Update Sept 2020,Rutland Grove (Website Interest List),Your retreat awaits at Rutland Grove!,See how it is taking shape.,219,5,2020-09-30,09 AM,0,5,0,0,197,82,0.3744292237442922,26,17,0.1319796954314721
149d0fde47,Mosaic Development Update Sept 2020,Mosaic (Website Interest List),Check out the latest at Mosaic at West Creek!,Life at Mosaic is in full swing.,1527,6,2020-09-24,12 PM,4,14,0,0,1553,428,0.28028814669286184,264,182,0.1699935608499678
f0dabc176f,Mosaic Development Update 8.31.20,Mosaic (Website Interest List),Mosaic at West Creek - Development Update,Check out life at Mosaic at West Creek!,1549,15,2020-08-31,02 PM,5,16,0,0,1855,544,0.3511943189154293,468,321,0.2522911051212938
47e0ee664b,Rutland Grove Dev Update 8.28.20,Rutland Grove (Website Interest List),Come See Us at Rutland Grove!,Your Development Update,219,3,2020-08-31,08 AM,1,5,0,0,178,75,0.3424657534246575,26,21,0.14606741573033707
e788208d49,Wescott Development Update 8.28.20,Wescott (Website Interest List),Wescott is rocking and rolling!,Check out the latest developments.,196,3,2020-08-28,02 PM,3,5,0,0,153,64,0.32653061224489793,42,31,0.27450980392156865
288d7d43f9,River Mill Development Update 8.28.20,River Mill (Website Interest List),River Mill Development Update,Live Well and Discover Nature!,1489,19,2020-08-28,01 PM,26,39,0,0,783,426,0.2860980523841504,112,76,0.14303959131545338
62c6f0812e,Rutland Grove Development Update - final 7.31.20,Rutland Grove (Website Interest List),Rutland Grove Development Update,Schedule your private tour!,206,2,2020-07-31,02 PM,1,0,0,0,222,77,0.3737864077669903,20,14,0.09009009009009009
171b09a3f4,River Mill Development Update 7.31.20,River Mill (Website Interest List),River Mill Development Update,Check out the latest updates!,1232,11,2020-07-31,01 PM,7,31,0,0,842,400,0.3246753246753247,183,154,0.2173396674584323
db43d12923,Wescott Development Update 7.31.20,Wescott (Website Interest List),Wescott Development Update,Wescott is in the news!,198,2,2020-07-31,11 AM,7,6,0,0,133,63,0.3181818181818182,32,30,0.24060150375939848
ee2ae479eb,Mosaic Development Update 7.30.20,Mosaic (Website Interest List),Mosaic at West Creek - Development Update,Schedule your private tour!,1529,12,2020-07-31,11 AM,16,14,0,0,1499,462,0.302158273381295,389,288,0.25950633755837227
5efd619c1a,Mosaic Development Update 6.26.20,Mosaic (Website Interest List),Mosaic at West Creek - Development Update,See what happening at Mosaic!,1480,12,2020-06-26,03 PM,5,21,0,0,922,373,0.252027027027027,170,119,0.1843817787418655
7e773171a5,Wescott Development Update 6.26.20,Wescott (Website Interest List),Wescott Development Update,Check out the monument sign!,178,1,2020-06-26,03 PM,1,7,0,0,112,48,0.2696629213483146,5,4,0.044642857142857144
38021197b0,River Mill Development Update 6.26.20,River Mill (Website Interest List),River Mill Development Update,Check out the latest progress!,1247,14,2020-06-26,02 PM,1,28,0,0,792,411,0.32959101844426625,102,74,0.12878787878787878
c8372f29e5,Rutland Grove Development Update - 6.26.20,Rutland Grove (Website Interest List),Rutland Grove Development Update,Check out the progress!,194,4,2020-06-26,12 PM,2,0,0,0,239,97,0.5,42,24,0.17573221757322174
6d38b15122,Rutland Grove Development Update - 5.27.20,Rutland Grove (Website Interest List),Rutland Grove Development Update,Check out our latest news!,201,6,2020-05-29,01 PM,0,3,0,0,258,104,0.5174129353233831,31,23,0.12015503875968993
cd368c83c1,River Mill Development Update 5.28.2020,River Mill (Website Interest List),River Mill Development Update,See what's happening at River Mill!,1261,13,2020-05-29,01 PM,1,29,0,0,867,460,0.3647898493259318,183,106,0.21107266435986158
ee11dbb40c,Mosaic Development Update 5.27.20,Mosaic (Website Interest List),Mosaic at West Creek - Development Update,We have exciting news!,1510,21,2020-05-29,12 PM,6,27,0,0,2072,788,0.5218543046357615,591,357,0.28523166023166024
a50f217dea,Wescott Development Update 5.27.20,Wescott (Website Interest List),Wescott Development Update,Check out our latest news!,178,0,2020-05-29,12 PM,0,8,0,0,265,140,0.7865168539325843,19,15,0.07169811320754717
3fca0636ce,Mosaic Development Update 4.27.20,Mosaic (Website Interest List),Mosaic at West Creek - Development Update,Check out our latest news!,1545,22,2020-04-28,10 AM,9,33,0,0,2101,620,0.40129449838187703,672,441,0.31984769157544024
ad48cbd68f,Rutland Grove Development Update - 4.27.20,Rutland Grove (Website Interest List),Rutland Grove Development Update,Check out our latest news!,206,7,2020-04-28,10 AM,0,2,0,0,342,114,0.5533980582524272,20,15,0.05847953216374269
1ab6736580,River Mill Development Update 4.27.20,River Mill (Website Interest List),River Mill Development Update,Check out our latest news!,1297,28,2020-04-28,10 AM,10,26,0,0,1273,589,0.45412490362374713,145,104,0.11390416339355852
52cbbd8c2d,Wescott Development Update 4.27.20,Wescott (Website Interest List),Wescott Development Update,Check out our latest news!,178,1,2020-04-28,09 AM,2,7,0,0,249,120,0.6741573033707865,49,32,0.19678714859437751
c7516abff0,Mosaic: Meet your builders virtually!,Mosaic (Website Interest List),Meet Your Builders Virtually!,Explore the pieces of Mosaic,230,0,2020-04-02,02 PM,0,0,0,0,1387,182,0.7913043478260869,827,380,0.5962509012256669
58ebb5faac,Wescott Development Update,Wescott (Website Interest List),Wescott Development Update,Check out our latest news!,159,0,2020-03-19,04 PM,6,9,0,0,137,49,0.3081761006289308,16,13,0.11678832116788321
da2ec6ea8d,Rutland Grove Development Update - March 2020,Rutland Grove (Website Interest List),Rutland Grove Development Update,Check out our latest news!,199,2,2020-03-19,01 PM,2,3,0,0,293,87,0.4371859296482412,34,24,0.11604095563139932
958f874ab8,River Mill Development Update 3.18.20,River Mill (Website Interest List),River Mill Development Update,Check out our latest news!,1153,7,2020-03-18,05 PM,6,15,0,0,1031,451,0.391153512575889,88,73,0.08535402521823472
a655b517c9,Mosaic VIP Cancellation email (copy 01),Mosaic (Website Interest List),Mosaic at West Creek | Event Cancellation,The VIP Meet Your Builder Event is canceled.,3,0,2020-03-18,03 PM,0,0,0,0,62,3,1.0,4,2,0.06451612903225806
32fd00e798,Mosaic VIP Cancellation email,Mosaic (Website Interest List),Mosaic at West Creek | Event Cancellation,The VIP Meet Your Builder Event is canceled.,228,0,2020-03-18,02 PM,1,1,0,0,538,157,0.6885964912280702,150,127,0.2788104089219331
fcdbebc532,Mosaic Development Update 3.18.20,Mosaic (Website Interest List),Mosaic at West Creek Development Update,Check out our latest news,1551,18,2020-03-18,02 PM,8,31,0,0,2040,636,0.41005802707930367,324,250,0.1588235294117647
2c9677a0be,HHHunt Homes | Magnolia Green Valhalla | Video Offer (copy 02),test,Win a free testimonial video by selling in Magnolia Green's Valhalla!,Magnolia Green Townhomes now selling,1,0,2020-03-03,04 PM,0,0,0,0,42,1,1.0,8,4,0.19047619047619047
81b9a3a143,HHHunt Homes | Magnolia Green Valhalla | Video Offer,OLD - External,Win a free testimonial video by selling in Magnolia Green's Valhalla!,Magnolia Green Townhomes now selling,571,3,2020-03-03,04 PM,31,32,0,0,159,103,0.18038528896672504,17,5,0.1069182389937107
ef3b8422b3,Invite,Mosaic (Website Interest List),You're Invited to a VIP Event!,,1502,12,2020-02-19,11 AM,20,34,0,0,3686,554,0.36884154460719043,451,303,0.12235485621269669
e983b95e33,Wescott February 2020,Wescott (Website Interest List),HHHunt Homes is now selling! Meet them today!,,138,0,2020-02-12,11 AM,4,15,0,0,96,51,0.3695652173913043,24,15,0.25
be4e078f31,Now Selling,Rutland Grove (Website Interest List),NOW SELLING! Secure your new home today!,,200,3,2020-02-03,12 PM,2,4,0,0,257,76,0.38,43,33,0.16731517509727625
1242d8a19f,Now selling,Wescott (Website Interest List),NOW SELLING!,,130,1,2020-01-15,01 PM,7,9,0,0,116,70,0.5384615384615384,47,25,0.4051724137931034
0b51bae330,Are you still interested 1.7.20,Mosaic (Website Interest List),Are you still interested in Mosaic?,,1502,55,2020-01-07,01 PM,7,23,0,0,1111,436,0.29027962716378164,0,0,0.0
233c5d3a52,test 4 to the map,test,test 4 to the map,,1,0,2020-01-07,12 PM,0,0,0,0,0,0,0.0,0,0,0.0
657d87adf2,test 3 redirect to hhhc,test,test 3 redirect to hhhc,,2,1,2020-01-07,12 PM,0,0,0,0,1,1,0.5,0,0,0.0
fc11852cbe,test 2,test,test yn 2,,3,2,2020-01-07,12 PM,0,0,0,0,10,2,0.6666666666666666,0,0,0.0
b781a535cf,test,test,test y/n,,2,1,2020-01-07,12 PM,0,0,0,0,2,1,0.5,0,0,0.0
5340ff3b0d,Wescott Holiday,Wescott (Website Interest List),Happy Holidays from HHHunt Communities,,103,2,2019-12-19,10 AM,5,7,0,0,38,22,0.21359223300970873,7,4,0.18421052631578946
25b8eae5fe,Holiday Mosaic,Mosaic (Website Interest List),Happy Holidays from HHHunt Communities!,,1522,19,2019-12-19,10 AM,10,26,0,0,717,353,0.23193166885676741,114,80,0.1589958158995816
e1f34768b1,Suffolk County Reminder,Suffolk County,Reminder- December 9th at Meadows Landing,,7,0,2019-12-04,02 PM,6,0,0,0,13,1,0.14285714285714285,0,0,0.0
adcc930a6c,12/3 business partners,Open House Business Partners 2019,SEE YOU THURSDAY!,,163,0,2019-12-03,10 AM,0,7,0,0,262,65,0.3987730061349693,36,17,0.13740458015267176
0abb5c25fb,Meadows landing,Meadows landing,Meadows Landing! Coming Soon!,,6,0,2019-11-26,03 PM,0,0,0,0,10,3,0.5,0,0,0.0
15db8ef691,Suffolk/Meadows Landing,Suffolk County,All Suffolk City Council Members – You’re Invited,,1,0,2019-11-26,03 PM,0,0,0,0,112,1,1.0,0,0,0.0
0bb4ced71e,Less than 30 11.11.19,Open House Business Partners 2019,Less than 30 days to the Open House!,,163,1,2019-11-11,04 PM,0,6,0,0,147,50,0.3067484662576687,43,17,0.2925170068027211
39c6c4a689,Mosaic at West Creek 11.6.19,Mosaic (Website Interest List),Mosaic at West Creek- Sneak Peek!,,1438,18,2019-11-06,03 PM,16,26,1,2,2148,487,0.3386648122392211,517,284,0.24068901303538176
9367f1c331,test,Facebook Interest List,test,,4,0,2019-11-06,01 PM,0,0,1,0,34,3,0.75,25,5,0.7352941176470589
f20bb67e5e,Rutland Grove 10/29/19,Rutland Grove (Website Interest List),Rutland Grove- Sales information is COMING SOON!,,184,6,2019-10-30,08 AM,5,2,0,0,251,92,0.5,57,35,0.22709163346613545
5035b0adf4,Wescott 10/29/19,Wescott (Website Interest List),Wescott Website is Live!,,91,0,2019-10-29,02 PM,19,8,0,0,159,18,0.1978021978021978,27,17,0.16981132075471697
4189d55e94,Open House 2019,Open House Business Partners 2019,Save the Date! HHHunt Communities Open House!,,165,0,2019-10-16,10 AM,5,4,0,0,638,76,0.46060606060606063,63,30,0.0987460815047022
5b39f6c15b,test 2,Facebook Interest List,test take 2,,2,0,2019-09-12,11 AM,0,0,0,0,10,2,1.0,0,0,0.0
a4d42dca67,test,Facebook Interest List,this is a test,,1,0,2019-09-12,11 AM,0,0,0,0,2,1,1.0,0,0,0.0
e2a8a4adf8,Exciting News from Hanover VA,Southerly (Website Interest List),"Exciting News In Hanover, VA!",,78,2,2019-09-09,04 PM,3,0,0,0,165,47,0.6025641025641025,32,20,0.19393939393939394
94fd370ff6,White Hall 8/28/19,White Hall (Website Interest List),Did you know there is only one home left?,,91,4,2019-08-28,09 AM,3,3,0,0,25,20,0.21978021978021978,3,3,0.12
cacd19c40d,River Mill 8/28/19,River Mill (Website Interest List),River Mill Builder Spot Light!,,1081,12,2019-08-28,09 AM,5,1,0,0,596,418,0.3866790009250694,72,59,0.12080536912751678
1d1e093ed6,Mosaic 8/28/19,Mosaic (Website Interest List),Meet Your Construction Manager,,1291,32,2019-08-28,08 AM,28,20,3,2,1266,484,0.37490317583268784,133,92,0.10505529225908374
985b0eae96,Mosaic at West Creek Kickoff Party! (copy 01),MOSAIC RSVP,"Tomorrow, July 25th, 2019! We see you there!!",,43,0,2019-07-24,04 PM,0,0,0,0,57,15,0.3488372093023256,2,1,0.03508771929824561
7166fe204e,Mosaic 7.23.19,Mosaic (Website Interest List),Mosaic at West Creek Update,,767,19,2019-07-23,12 PM,24,14,1,1,1398,378,0.49282920469361147,404,233,0.28898426323319026
d262dddf47,7.23.19,River Mill (Website Interest List),River Mill Update,,982,11,2019-07-23,12 PM,3,2,1,0,671,419,0.42668024439918534,130,99,0.19374068554396423
6b3403508a,Last Days,River Mill (Website Interest List),Last few days of Homearama 2019!,,987,4,2019-06-13,03 PM,1,4,0,0,463,314,0.3181357649442756,18,17,0.038876889848812095
ff4c27b19f,Mosaic at West Creek Kickoff Party!,Mosaic at West Creek Kick Off,"You are invited! Must RSVP by July 5, 2019",,46,0,2019-06-10,09 AM,0,1,0,0,265,14,0.30434782608695654,140,15,0.5283018867924528
2ad275f350,Homearama - River Mill - Realtor Day,Realtors,Realtor Day at Homearama!,You're Invited,3083,8,2019-06-04,11 AM,6,37,0,0,910,535,0.17353227375932534,37,30,0.04065934065934066
eb12aaee1c,MILL SQUARE PARK IS UNDER ROOF!,River Mill (Website Interest List),MILL SQUARE PARK IS UNDER ROOF!,,1001,9,2019-05-21,10 AM,5,4,0,0,721,391,0.3906093906093906,110,85,0.15256588072122051
b4af522fbc,Homearama - RM - May (RM audience),River Mill (Website Interest List),River Mill hosts Homearama 2019,,958,9,2019-04-30,07 AM,1,6,0,0,1117,361,0.3768267223382046,286,182,0.25604297224709044
83b395ecef,Realtor Event invite for 4/24/19,Realtors,Exclusive Realtor Event! Homearama 2019!,,3095,8,2019-04-30,07 AM,4,33,0,0,807,475,0.15347334410339256,81,54,0.10037174721189591
37de969715,Homearama - RM - May,Realtors,Homearama 2019! Exclusive Realtor Event!,,3165,7,2019-04-29,07 AM,66,34,0,0,708,450,0.14218009478672985,145,115,0.20480225988700565
